ward,office,district,party,candidate,votes
8,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Marie Johns,317
8,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,Nestor Djonkam,5
8,MAYOR OF THE DISTRICT OF COLUMBIA,,DEM,"Write In, if any",15
8,CHAIRMAN OF THE COUNCIL,,DEM,Vincent C. Gray,"6,823"
8,CHAIRMAN OF THE COUNCIL,,DEM,Kathy Patterson,"1,790"
8,CHAIRMAN OF THE COUNCIL,,DEM,"Write In, if any",35
8,AT-LARGE MEMBER OF THE COUNCIL,,DEM,Phil Mendelson,"4,271"
8,AT-LARGE MEMBER OF THE COUNCIL,,DEM,A. Scott Bolden,"4,053"
8,AT-LARGE MEMBER OF THE COUNCIL,,DEM,"Write In, if any",63
8,UNITED STATES SENATOR,,DEM,Michael D. Brown,"6,009"
8,UNITED STATES SENATOR,,DEM,Philip Pannell,"2,189"
8,UNITED STATES SENATOR,,DEM,"Write In, if any",64
8,UNITED STATES REPRESENTATIVE,,DEM,Mike Panetta,"3,073"
8,UNITED STATES REPRESENTATIVE,,DEM,John J. Forster,"3,261"
8,UNITED STATES REPRESENTATIVE,,DEM,James S. Bubar,"1,088"
8,UNITED STATES REPRESENTATIVE,,DEM,"Write In, if any",146
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,REP,"Write In, if any",33
8,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,David W. Kranich,20
8,MAYOR OF THE DISTRICT OF COLUMBIA,,REP,"Write In, if any",47
8,CHAIRMAN OF THE COUNCIL,,REP,"Write In, if any",23
8,AT-LARGE MEMBER OF THE COUNCIL,,REP,Marcus Skelton,45
8,AT-LARGE MEMBER OF THE COUNCIL,,REP,"Write In, if any",16
8,UNITED STATES SENATOR,,REP,"Write In, if any",21
8,UNITED STATES REPRESENTATIVE,,REP,"Write In, if any",15
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,SG,"Write In, if any",8
8,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,Chris Otten,7
8,MAYOR OF THE DISTRICT OF COLUMBIA,,SG,"Write In, if any",14
8,CHAIRMAN OF THE COUNCIL,,SG,"Write In, if any",10
8,AT-LARGE MEMBER OF THE COUNCIL,,SG,Ann C. Wilcox,12
8,AT-LARGE MEMBER OF THE COUNCIL,,SG,"Write In, if any",3
8,UNITED STATES SENATOR,,SG,Joyce Robinson-Paul,14
8,UNITED STATES SENATOR,,SG,"Write In, if any",1
8,UNITED STATES REPRESENTATIVE,,SG,Keith R. Ware,15
8,UNITED STATES REPRESENTATIVE,,SG,"Write In, if any",0
